date,clicks,impressions,ctr,position
2025-06-23,1,104,0.009615384615384616,41.90384615384615
2025-06-24,1,84,0.011904761904761904,29.785714285714285
2025-06-25,2,65,0.03076923076923077,27.123076923076923
2025-06-26,2,98,0.02040816326530612,37.265306122448976
2025-06-27,3,104,0.028846153846153848,34.05769230769231
2025-06-28,1,76,0.013157894736842105,39.9078947368421
2025-06-29,2,78,0.02564102564102564,37.46153846153846
2025-06-30,4,84,0.047619047619047616,31.202380952380953
2025-07-01,1,74,0.013513513513513514,36.148648648648646
2025-07-02,3,98,0.030612244897959183,30.683673469387756
2025-07-03,0,114,0,29.74561403508772
2025-07-04,2,82,0.024390243902439025,30.4390243902439
2025-07-05,2,97,0.020618556701030927,33.52577319587629
2025-07-06,3,64,0.046875,30.359375
2025-07-07,0,89,0,31.775280898876403
2025-07-08,3,88,0.03409090909090909,27.556818181818183
2025-07-09,3,73,0.0410958904109589,32.28767123287671
2025-07-10,0,63,0,28.650793650793652
2025-07-11,2,81,0.024691358024691357,32.2962962962963
2025-07-12,4,95,0.042105263157894736,32.10526315789474
2025-07-13,2,115,0.017391304347826087,22.008695652173913
2025-07-14,2,163,0.012269938650306749,22.699386503067483
2025-07-15,5,166,0.030120481927710843,22.240963855421686
2025-07-16,1,171,0.005847953216374269,19.801169590643276
2025-07-17,2,142,0.014084507042253521,19.471830985915492
2025-07-18,3,161,0.018633540372670808,20.70807453416149
2025-07-19,7,176,0.03977272727272727,25.8125
2025-07-20,4,272,0.014705882352941176,19.46323529411765
2025-07-21,3,150,0.02,24.066666666666666
2025-07-22,8,185,0.043243243243243246,23.88108108108108
2025-07-23,3,168,0.017857142857142856,26.428571428571427
2025-07-24,4,182,0.02197802197802198,21.983516483516482
2025-07-25,4,159,0.025157232704402517,23.88050314465409
2025-07-26,0,131,0,24.18320610687023
2025-07-27,4,192,0.020833333333333332,25.796875
2025-07-28,7,166,0.04216867469879518,19.126506024096386
2025-07-29,6,189,0.031746031746031744,24.174603174603174
2025-07-30,3,134,0.022388059701492536,24.30597014925373
2025-07-31,4,169,0.023668639053254437,24.28994082840237
2025-08-01,6,155,0.03870967741935484,26.516129032258064
2025-08-02,14,150,0.09333333333333334,21.733333333333334
2025-08-03,8,143,0.055944055944055944,24.48951048951049
2025-08-04,5,155,0.03225806451612903,20.4
2025-08-05,4,153,0.026143790849673203,23.464052287581698
2025-08-06,4,129,0.031007751937984496,24.37984496124031
2025-08-07,7,174,0.040229885057471264,21.448275862068964
2025-08-08,6,160,0.0375,23.7125
2025-08-09,5,237,0.02109704641350211,21.654008438818565
2025-08-10,5,210,0.023809523809523808,21.523809523809526
2025-08-11,12,228,0.05263157894736842,19.859649122807017
2025-08-12,7,212,0.0330188679245283,23.66509433962264
2025-08-13,6,223,0.026905829596412557,22.63677130044843
2025-08-14,9,183,0.04918032786885246,22.792349726775956
2025-08-15,7,222,0.03153153153153153,23.3018018018018
2025-08-16,4,167,0.023952095808383235,24.95808383233533
2025-08-17,6,187,0.03208556149732621,20.81283422459893
2025-08-18,3,195,0.015384615384615385,19.338461538461537
2025-08-19,3,174,0.017241379310344827,21.798850574712645
2025-08-20,8,160,0.05,20.93125
2025-08-21,3,209,0.014354066985645933,21.267942583732058
2025-08-22,3,177,0.01694915254237288,24.389830508474578
2025-08-23,4,155,0.025806451612903226,19.451612903225808
2025-08-24,2,167,0.011976047904191617,23.047904191616766
2025-08-25,8,211,0.037914691943127965,17.933649289099527
2025-08-26,4,215,0.018604651162790697,22.683720930232557
2025-08-27,6,173,0.03468208092485549,14.791907514450868
2025-08-28,3,186,0.016129032258064516,19.392473118279568
2025-08-29,10,168,0.05952380952380952,16.30952380952381
2025-08-30,10,163,0.06134969325153374,18.57668711656442
2025-08-31,4,161,0.024844720496894408,19.571428571428573
2025-09-01,5,182,0.027472527472527472,19.565934065934066
2025-09-02,5,165,0.030303030303030304,15.50909090909091
2025-09-03,6,185,0.032432432432432434,22.55135135135135
2025-09-04,3,174,0.017241379310344827,17.683908045977013
2025-09-05,7,193,0.03626943005181347,16.89637305699482
2025-09-06,4,175,0.022857142857142857,14.52
2025-09-07,9,191,0.04712041884816754,14.575916230366492
2025-09-08,8,236,0.03389830508474576,16.03813559322034
2025-09-09,7,205,0.03414634146341464,13.91219512195122
2025-09-10,13,209,0.06220095693779904,14.703349282296651
2025-09-11,9,171,0.05263157894736842,16.842105263157897
2025-09-12,7,160,0.04375,14.475
2025-09-13,6,156,0.038461538461538464,12.147435897435898
2025-09-14,6,156,0.038461538461538464,9.512820512820513
2025-09-15,8,188,0.0425531914893617,11.579787234042554
2025-09-16,4,168,0.023809523809523808,12.541666666666666
2025-09-17,3,189,0.015873015873015872,12.634920634920634
2025-09-18,19,220,0.08636363636363636,10.818181818181818
2025-09-19,8,161,0.049689440993788817,11.788819875776397
2025-09-20,7,170,0.041176470588235294,15.41764705882353
2025-09-21,6,189,0.031746031746031744,8.71957671957672
2025-09-22,4,160,0.025,9.68125
2025-09-23,6,169,0.03550295857988166,9.36094674556213
2025-09-24,9,179,0.05027932960893855,11.452513966480447
2025-09-25,2,176,0.011363636363636364,8.795454545454547
2025-09-26,5,127,0.03937007874015748,11.700787401574804
2025-09-27,5,148,0.033783783783783786,10.966216216216216
2025-09-28,7,153,0.0457516339869281,10.359477124183007
2025-09-29,3,145,0.020689655172413793,12.682758620689656
2025-09-30,11,175,0.06285714285714286,11.16
2025-10-01,8,158,0.05063291139240506,10.341772151898734
2025-10-02,7,144,0.04861111111111111,8.20138888888889
2025-10-03,3,107,0.028037383177570093,8.728971962616821
2025-10-04,10,143,0.06993006993006994,12.097902097902098
2025-10-05,7,144,0.04861111111111111,10.305555555555555
2025-10-06,5,113,0.04424778761061947,9.964601769911505
2025-10-07,8,145,0.05517241379310345,9.855172413793104
2025-10-08,4,159,0.025157232704402517,10.666666666666666
2025-10-09,4,131,0.030534351145038167,9.748091603053435
2025-10-10,1,103,0.009708737864077669,9.58252427184466
2025-10-11,1,94,0.010638297872340425,10.75531914893617
2025-10-12,10,149,0.06711409395973154,9.456375838926174
2025-10-13,9,155,0.05806451612903226,9.406451612903226
2025-10-14,9,164,0.054878048780487805,11.689024390243903
2025-10-15,3,148,0.02027027027027027,9.95945945945946
2025-10-16,6,140,0.04285714285714286,9.835714285714285
2025-10-17,7,138,0.050724637681159424,11.456521739130435
2025-10-18,5,134,0.03731343283582089,9.23134328358209
2025-10-19,4,133,0.03007518796992481,10.654135338345865
2025-10-20,5,143,0.03496503496503497,8.65034965034965
2025-10-21,8,134,0.05970149253731343,10.917910447761194
2025-10-22,8,138,0.057971014492753624,13.942028985507246
2025-10-23,10,138,0.07246376811594203,11.231884057971014
2025-10-24,5,143,0.03496503496503497,11.867132867132867
2025-10-25,1,138,0.007246376811594203,12.77536231884058
2025-10-26,5,173,0.028901734104046242,12.00578034682081
2025-10-27,5,165,0.030303030303030304,11.187878787878788
2025-10-28,8,153,0.05228758169934641,9.07843137254902
2025-10-29,7,162,0.043209876543209874,9.969135802469136
